intent,student,response,valued,language,knowledge,language,action,understanding,responseType
210,Jazmin,"I like reading about real events, so I would say non-fiction but I do like some fiction too",2,2,3,2,Talk,,Prefer
210,Luis,"I'm not sure, but I like to read lots of signs and manuals.",1,1,2,2,Talk,,Prefer
210,Luis,I think I prefer non-fiction,1,1,1,1,Talk,,Prefer
210,Oliver,I like some kinds of non-fiction but I think fiction is better.,1,1,1,1,Talk,,Prefer
210,Oliver,I like fiction more. ,2,1,1,1,Talk,,Prefer
210,Sharleen,I like fiction. Non-fiction is too boring.,2,1,1,1,Talk,,Prefer
210,Sharleen,Fiction is my favorite. I don't really like non-fiction.,2,1,1,1,Talk,,Prefer
500,Farrah,"I think nonfiction feels like schoolwork and I'd rather read for fun, not work.",2,2,3,3,Talk,,Think
500,Farrah,Fiction just seems more fun to me because I can read about magic.,2,2,3,3,Talk,,Think
500,Jazmin,Good question! I like both but I really like nonfiction when the topic is animals and our planet.,2,2,2,2,Talk,,Think
500,Jazmin,I like to read about adventures which is like I sometimes like fiction but I prefer non-fiction because I like learning about real people.,2,2,3,3,Talk,,Think
500,Chris,I like mostly fiction but I'm into space travel so I guess if it's a book about astronomy then I'm into that.,2,3,3,3,thank,,Think
500,Luis,"Give me action stuff anyday. Wait, nonfiction books are about real people. I read minecraft blogs.",2,2,2,2,Talk,,Think
500,Luis,I like reading about things I can use in my daily life so I guess that's why I prefer non-fiction.,2,2,2,3,Talk,,Think
500,Chris,I like fiction alot,2,1,1,1,Talk,,Think
500,Oliver,"Hmm, I guess I prefer fiction, but I'm into historical fiction too, which is kind of like non-fiction, except not everything is exactly true.",2,2,3,1,Talk,,Think
500,Oliver,I usually like fiction stories because I love mysteries but I guess mysteries could be real events too.,2,2,3,1,Talk,,Think
500,Sharleen,I like stories about people that are like me.,2,1,2,2,Talk,,Think
500,Sharleen,I like fiction because I love reading about magic stories.,2,1,2,2,Talk,,Think
1101,Class,The answer is 4 of course,0,0,0,0,Talk,,Add
1101,Class,Would you believe 22?,0,0,0,0,Talk,0,,Add
1101,Class,The answer is 4 of course,0,0,0,0,Talk,,Add
1101,Class,I don't know how to add yet,0,0,0,0,Talk,,Add
1101,Class,Math is hard,0,0,0,0,Talk,,Add
600,Class,"Hi, how are you?",1,0,0,0,Talk,,Talk
600,Class,"Hi, we're excited to work with you",3,0,0,0,Talk,,Greeting
600,,Class,"We're doing well, how are you?",0,0,0,Talk,,Greeting
720,Class,"I wanted to thank you for when you called on us",,0 (not present),0 (not present),0 (not present),Talk,,Ending
730,Class,"I wanted to thank you for how you asked us about our answer.",,0 (not present),0 (not present),0 (not present),Talk,,,Ending
740,Class,"I wanted to thank you for being interested in our answers.",,0 (not present),0 (not present),0 (not present),Talk,,,Ending
750,Class,"I wanted to thank you for how you explained what we needed to work on and gave us ideas on how to improve our answer",,0 (not present),0 (not present),0 (not present),Talk,0,,Ending
760,Class,"I wanted to thank you for when you helped us think about our ideas",,0 (not present),0 (not present),0 (not present),Talk,,,Ending

1001,Class,"I didn't understand what you said",0,0,0,0,Talk,,Missed
1001,Class,"Could you say that in a different way?",0,0,0,0,Talk,,Missed
1001,Class,"I am not sure what you were talking about.",0,0,0,0,Talk,,Missed
1001,Class,"What did you want me to understand?",0,0,0,0,Talk,,Missed
1001,Class,"It would help me if you could repeat that with different words.",0,0,0,0,Talk,,Missed
1001,Class,"I didn't understand those words.",0,0,0,0,Talk,,Missed
1001,Class,"I need to hear that in a different way.",0,0,0,0,Talk,,Missed
